"o","nieuweURI"
"http://data.kbodata.be/organisation/2_142_943_794#id","https://data.vlaanderen.be/id/vestiging/2142943794"
"http://data.kbodata.be/organisation/2_142_943_794#id","https://data.vlaanderen.be/id/vestiging/2142943794"
"http://data.kbodata.be/organisation/2_142_943_695#id","https://data.vlaanderen.be/id/vestiging/2142943695"
"http://data.kbodata.be/organisation/2_142_943_695#id","https://data.vlaanderen.be/id/vestiging/2142943695"
"http://data.kbodata.be/organisation/2_040_124_982#id","https://data.vlaanderen.be/id/vestiging/2040124982"
"http://data.kbodata.be/organisation/2_026_420_862#id","https://data.vlaanderen.be/id/vestiging/2026420862"
"http://data.kbodata.be/organisation/2_151_088_331#id","https://data.vlaanderen.be/id/vestiging/2151088331"
"http://data.kbodata.be/organisation/2_060_058_878#id","https://data.vlaanderen.be/id/vestiging/2060058878"
"http://data.kbodata.be/organisation/2_144_771_750#id","https://data.vlaanderen.be/id/vestiging/2144771750"
"http://data.kbodata.be/organisation/2_160_749_234#id","https://data.vlaanderen.be/id/vestiging/2160749234"
"http://data.kbodata.be/organisation/2_017_394_716#id","https://data.vlaanderen.be/id/vestiging/2017394716"
"http://data.kbodata.be/organisation/2_069_186_281#id","https://data.vlaanderen.be/id/vestiging/2069186281"
"http://data.kbodata.be/organisation/2_160_679_948#id","https://data.vlaanderen.be/id/vestiging/2160679948"
"http://data.kbodata.be/organisation/2_161_320_049#id","https://data.vlaanderen.be/id/vestiging/2161320049"
"http://data.kbodata.be/organisation/2_201_443_110#id","https://data.vlaanderen.be/id/vestiging/2201443110"
"http://data.kbodata.be/organisation/2_158_722_627#id","https://data.vlaanderen.be/id/vestiging/2158722627"
"http://data.kbodata.be/organisation/2_207_103_356#id","https://data.vlaanderen.be/id/vestiging/2207103356"
"http://data.kbodata.be/organisation/2_014_674_162#id","https://data.vlaanderen.be/id/vestiging/2014674162"
"http://data.kbodata.be/organisation/2_207_844_021#id","https://data.vlaanderen.be/id/vestiging/2207844021"
"http://data.kbodata.be/organisation/2_006_207_151#id","https://data.vlaanderen.be/id/vestiging/2006207151"
"http://data.kbodata.be/organisation/2_235_865_440#id","https://data.vlaanderen.be/id/vestiging/2235865440"
"http://data.kbodata.be/organisation/2_060_059_472#id","https://data.vlaanderen.be/id/vestiging/2060059472"
"http://data.kbodata.be/organisation/2_010_640_348#id","https://data.vlaanderen.be/id/vestiging/2010640348"
"http://data.kbodata.be/organisation/2_251_792_444#id","https://data.vlaanderen.be/id/vestiging/2251792444"
"http://data.kbodata.be/organisation/2_162_823_747#id","https://data.vlaanderen.be/id/vestiging/2162823747"
"http://data.kbodata.be/organisation/2_038_361_760#id","https://data.vlaanderen.be/id/vestiging/2038361760"
"http://data.kbodata.be/organisation/2_160_586_017#id","https://data.vlaanderen.be/id/vestiging/2160586017"
"http://data.kbodata.be/organisation/2_039_612_862#id","https://data.vlaanderen.be/id/vestiging/2039612862"
"http://data.kbodata.be/organisation/2_178_970_980#id","https://data.vlaanderen.be/id/vestiging/2178970980"
"http://data.kbodata.be/organisation/2_157_993_048#id","https://data.vlaanderen.be/id/vestiging/2157993048"
"http://data.kbodata.be/organisation/2_233_728_371#id","https://data.vlaanderen.be/id/vestiging/2233728371"
"http://data.kbodata.be/organisation/2_152_838_487#id","https://data.vlaanderen.be/id/vestiging/2152838487"
"http://data.kbodata.be/organisation/2_198_481_244#id","https://data.vlaanderen.be/id/vestiging/2198481244"
"http://data.kbodata.be/organisation/2_004_138_774#id","https://data.vlaanderen.be/id/vestiging/2004138774"
"http://data.kbodata.be/organisation/2_035_060_889#id","https://data.vlaanderen.be/id/vestiging/2035060889"
"http://data.kbodata.be/organisation/2_063_241_765#id","https://data.vlaanderen.be/id/vestiging/2063241765"
"http://data.kbodata.be/organisation/2_150_816_137#id","https://data.vlaanderen.be/id/vestiging/2150816137"
"http://data.kbodata.be/organisation/2_181_193_666#id","https://data.vlaanderen.be/id/vestiging/2181193666"
"http://data.kbodata.be/organisation/2_185_800_770#id","https://data.vlaanderen.be/id/vestiging/2185800770"
"http://data.kbodata.be/organisation/2_188_394_927#id","https://data.vlaanderen.be/id/vestiging/2188394927"
"http://data.kbodata.be/organisation/2_005_712_649#id","https://data.vlaanderen.be/id/vestiging/2005712649"
"http://data.kbodata.be/organisation/2_020_647_877#id","https://data.vlaanderen.be/id/vestiging/2020647877"
"http://data.kbodata.be/organisation/2_063_448_435#id","https://data.vlaanderen.be/id/vestiging/2063448435"
"http://data.kbodata.be/organisation/2_019_575_731#id","https://data.vlaanderen.be/id/vestiging/2019575731"
